model_id,random_date,times_sell
38424,2021-03-16,5
38485,2021-03-11,5
38552,2020-06-24,5
38570,2021-12-01,5
38641,2020-09-09,5
38666,2020-05-25,5
38795,2021-07-05,5
38985,2021-12-09,6
39020,2021-03-13,5
39196,2021-08-24,5
39220,2020-10-22,5
39320,2021-08-22,5
4021,2020-09-23,5
4184,2021-04-27,5
27064,2020-04-27,5
27096,2022-03-20,5
27107,2020-02-12,5
27114,2020-08-27,5
27168,2021-08-24,5
27213,2022-04-10,5
27215,2022-02-23,5
27316,2021-11-09,5
27518,2020-06-21,5
27668,2020-10-21,5
27694,2021-11-26,5
27701,2021-01-10,5
27717,2021-01-07,6
27881,2020-06-28,5
27889,2021-10-12,5
27966,2020-02-17,6
28001,2020-07-03,5
28135,2021-04-13,6
28582,2021-02-28,5
28613,2022-02-28,5
28747,2021-07-10,6
28795,2021-03-31,5
28825,2020-11-07,6
28866,2021-11-06,5
28982,2021-08-18,5
29025,2022-03-19,5
29117,2021-08-14,5
29180,2021-11-12,5
29318,2021-09-13,5
29356,2020-05-25,5
29376,2021-10-08,5
29390,2022-04-28,5
29414,2020-03-08,5
29584,2022-03-05,6
29673,2020-05-22,5
29690,2021-10-28,5
29826,2020-07-04,5
29864,2020-03-08,5
30020,2021-08-23,6
30275,2020-12-24,6
30367,2021-05-16,5
30413,2021-04-03,5
30466,2021-08-19,5
30499,2020-01-17,5
30639,2021-06-11,5
30661,2020-10-20,5
30736,2022-04-23,5
30926,2020-08-03,5
31046,2021-03-15,6
31099,2020-06-13,5
31222,2022-04-06,5
4282,2021-04-30,5
4648,2021-05-29,5
4710,2021-11-20,6
4723,2021-10-05,6
4795,2021-11-20,7
4855,2020-05-13,6
4971,2021-10-29,7
5167,2021-09-20,5
5256,2020-05-24,5
5780,2021-02-19,5
5810,2020-06-14,5
5851,2021-04-21,5
5998,2020-12-19,5
6047,2021-09-25,5
6208,2020-06-07,5
6299,2020-09-20,5
6300,2022-02-08,5
6323,2020-12-25,5
6412,2021-01-25,6
6885,2021-07-12,6
6974,2021-01-02,5
7023,2020-09-21,5
7082,2022-01-04,5
7199,2021-11-13,5
7654,2021-03-27,5
7701,2020-07-03,5
7736,2021-06-09,5
7758,2021-10-27,5
7802,2020-02-26,5
7805,2021-04-24,6
7859,2021-04-16,6
7925,2020-10-08,5
7967,2022-04-19,5
7981,2021-07-14,5
8017,2021-09-13,5
8188,2022-03-07,5
8330,2020-10-23,5
12110,2020-02-20,5
12112,2020-07-12,5
12160,2020-05-25,5
12240,2020-02-13,5
12270,2020-05-14,5
12547,2020-07-13,5
12675,2022-01-07,5
12723,2020-05-25,5
12751,2021-07-26,5
12765,2022-02-14,6
12948,2021-08-26,5
12985,2020-03-13,5
12993,2020-06-23,5
13082,2021-12-29,5
13142,2020-03-19,5
13175,2021-02-09,5
13276,2022-04-14,5
13367,2020-01-25,6
13411,2021-09-25,5
13447,2020-12-30,6
13456,2021-09-03,5
13521,2020-10-28,5
13552,2020-10-31,5
13579,2021-06-21,5
13590,2021-06-02,5
13718,2020-08-27,5
13767,2020-10-03,5
14019,2020-07-17,5
14031,2020-09-15,5
14070,2021-09-30,5
14187,2021-05-06,5
14234,2021-03-05,5
14264,2021-03-29,5
14298,2020-05-13,5
14323,2020-04-30,5
14722,2020-07-20,5
14802,2020-11-07,5
14836,2021-08-12,5
14848,2020-10-25,5
14869,2021-02-24,5
15037,2020-07-29,5
15111,2021-12-28,5
15114,2020-09-19,6
15192,2020-01-06,5
15286,2021-02-18,5
15325,2021-11-14,5
15393,2020-07-04,6
15464,2022-02-05,5
15555,2020-11-14,5
15745,2020-12-23,5
15801,2021-08-03,6
15905,2020-05-23,5
15988,2020-02-26,6
16005,2020-06-12,5
16033,2020-09-08,6
16063,2021-01-26,5
16186,2021-12-02,5
31338,2020-03-11,5
31550,2021-08-14,5
31594,2020-07-13,5
31772,2020-04-26,5
31886,2020-08-02,5
16288,2020-04-26,5
8519,2021-06-17,5
8655,2021-05-08,5
8748,2021-09-18,5
8819,2020-12-01,5
23746,2021-01-16,5
23789,2021-05-21,5
24031,2020-05-22,5
24046,2020-12-17,5
24163,2020-09-11,5
24193,2020-06-17,5
24455,2021-11-28,5
24475,2021-04-20,5
24552,2020-03-07,5
24604,2022-01-04,6
24668,2020-12-19,5
24737,2021-06-23,5
24836,2020-01-21,5
24980,2021-11-12,7
25027,2021-06-17,5
25057,2022-01-26,6
25108,2021-11-03,5
25121,2021-01-19,5
25199,2022-03-04,5
25209,2020-07-29,5
25285,2020-04-27,5
25328,2020-07-29,5
25328,2020-12-18,5
25546,2020-03-24,5
25726,2020-08-10,6
25746,2021-07-08,5
25966,2020-03-30,6
26174,2021-10-14,6
26401,2020-12-18,5
26584,2021-02-02,5
26705,2021-12-10,5
26733,2021-10-03,5
26758,2020-11-19,5
26830,2021-01-07,6
27013,2022-02-03,5
32051,2020-09-26,6
32064,2020-09-19,5
32103,2021-04-20,5
32129,2021-06-27,5
32154,2020-03-09,5
32162,2022-02-27,6
32163,2020-11-10,5
32169,2020-03-02,5
32198,2021-09-23,5
32271,2020-12-19,5
32565,2020-08-06,5
32630,2020-03-20,5
32704,2020-01-30,5
32726,2020-07-06,5
32856,2021-12-14,5
32856,2022-03-23,5
32889,2021-10-13,5
33067,2020-05-01,5
33174,2021-04-20,5
33228,2020-12-09,5
33296,2022-04-18,7
33372,2021-06-19,6
33459,2020-03-21,5
33646,2022-03-29,5
33667,2022-02-09,5
33914,2021-10-01,5
33930,2020-10-12,5
34041,2021-01-20,5
34052,2021-09-05,5
34342,2020-10-14,5
34511,2021-08-25,5
34540,2020-11-22,5
34603,2021-10-07,5
34779,2020-08-24,5
34779,2021-11-26,5
34835,2021-05-21,6
34982,2020-10-26,5
35050,2020-08-10,5
35050,2022-01-22,5
35084,2022-02-13,5
16392,2020-06-29,6
16486,2021-06-28,5
16488,2021-05-23,5
16550,2021-10-27,5
16600,2020-02-11,6
16631,2020-06-17,5
16753,2020-07-28,5
16851,2020-11-17,6
16871,2021-06-07,5
16908,2020-02-22,5
16944,2021-08-07,5
16944,2022-02-04,6
17104,2021-03-08,6
17289,2022-04-14,5
17347,2020-04-24,6
17371,2020-11-18,5
17383,2021-04-24,6
17398,2020-11-10,5
17416,2022-03-21,6
17460,2020-06-23,5
17479,2020-07-15,5
17502,2021-09-29,5
17517,2021-12-12,6
17565,2021-08-28,5
17624,2020-12-14,5
17680,2020-11-09,5
17722,2020-07-12,5
17837,2022-03-12,5
18015,2022-04-18,5
18058,2021-12-09,5
18132,2020-03-12,5
18148,2020-10-10,5
18159,2020-01-27,5
18240,2021-03-16,5
18279,2022-02-20,5
18281,2022-03-28,5
18327,2021-07-31,6
18468,2022-04-08,5
18484,2021-07-25,5
18498,2021-05-31,5
18500,2020-03-06,5
18697,2021-10-02,5
18827,2021-02-20,5
18990,2021-01-24,5
19103,2020-10-07,7
19167,2020-07-31,5
19429,2020-07-16,5
19443,2021-02-03,6
19534,2021-03-08,6
19547,2021-02-20,5
19621,2021-06-06,5
19650,2021-07-08,5
19669,2020-03-23,5
19670,2021-12-10,5
8915,2021-07-30,6
8930,2020-09-14,5
8969,2020-01-30,5
9118,2020-02-15,5
9210,2021-03-05,5
9248,2022-04-01,5
9253,2021-09-11,5
9308,2020-08-18,5
9323,2021-12-05,5
9367,2021-04-08,5
9391,2021-10-07,5
9395,2020-01-26,5
9413,2020-01-04,5
9479,2021-08-20,5
9554,2020-10-09,5
9565,2020-12-19,5
9834,2020-04-22,5
9930,2021-05-26,5
9957,2020-03-26,5
9995,2021-02-14,5
10043,2021-08-15,5
10284,2022-03-14,7
10294,2020-03-28,5
10469,2022-04-23,5
10509,2021-06-30,5
10694,2022-03-24,5
10907,2020-11-26,5
10973,2020-09-27,5
11148,2021-02-06,5
11151,2021-01-11,5
11161,2020-12-28,5
11214,2021-03-26,6
11503,2021-08-01,5
11649,2022-01-14,5
11667,2020-06-24,5
11695,2021-03-09,5
11964,2022-01-28,5
11,2021-11-29,5
14,2020-06-30,5
99,2022-01-10,7
107,2021-04-15,5
391,2021-08-08,5
516,2021-10-11,5
655,2020-06-23,5
1043,2021-08-14,5
1104,2021-01-05,6
1178,2021-07-08,5
1198,2021-08-02,5
1260,2021-03-18,5
1372,2020-07-31,8
1377,2021-05-24,5
1386,2020-05-24,6
1415,2021-06-18,5
1509,2020-12-20,5
1553,2020-10-07,5
1560,2020-02-19,5
1658,2020-04-28,5
1797,2021-03-09,5
1882,2021-12-31,5
1886,2022-03-15,5
2148,2020-12-03,5
2187,2020-12-15,5
2216,2020-06-22,5
2601,2020-06-12,5
2616,2020-10-31,5
2728,2021-08-17,5
2833,2020-10-15,5
2907,2021-12-11,5
2921,2020-02-14,5
2962,2021-12-07,5
2986,2020-09-13,5
3052,2020-04-18,5
3052,2020-07-08,5
3140,2020-04-13,6
3456,2020-08-11,6
3554,2020-03-12,5
3641,2022-01-18,5
3856,2021-10-30,5
3869,2020-04-11,5
3928,2021-10-30,5
19789,2020-01-16,5
19830,2020-11-23,5
19886,2022-04-02,6
20143,2021-09-21,5
20160,2021-10-19,5
20197,2021-03-19,5
20227,2020-05-31,5
20297,2022-04-24,5
20337,2022-04-06,5
20344,2021-03-12,5
20501,2021-11-11,6
20686,2022-02-17,5
20712,2020-06-06,5
20864,2021-03-09,6
20877,2021-07-22,5
21005,2021-01-19,6
21005,2021-05-02,7
21089,2020-06-20,5
21109,2020-12-07,5
21285,2020-06-11,5
21400,2021-08-22,6
21539,2020-10-15,5
21607,2020-08-15,5
21705,2022-04-04,5
21733,2021-06-29,5
21819,2020-08-19,5
21873,2021-03-07,5
21899,2021-05-24,5
22263,2021-01-29,6
22264,2020-10-27,5
22357,2021-07-15,6
22372,2020-09-06,5
22380,2021-12-01,5
22670,2021-01-03,5
22689,2020-07-20,5
22705,2020-12-27,6
22833,2021-12-19,5
22868,2021-01-24,6
23087,2021-12-09,6
23121,2022-04-24,7
23251,2020-07-11,5
23320,2020-12-11,5
23437,2020-07-09,5
35242,2021-06-28,5
36044,2021-03-18,5
36113,2020-03-29,5
36133,2021-03-26,5
36483,2021-12-29,5
36497,2021-12-16,5
36538,2021-07-21,5
36798,2021-03-04,8
36816,2022-01-09,5
36950,2022-02-11,5
36957,2020-11-20,5
37040,2021-02-05,5
37239,2021-04-05,5
37281,2020-10-01,5
37394,2021-07-21,5
37399,2020-06-24,5
37662,2021-09-25,5
37750,2020-09-28,5
37765,2020-12-29,5
38010,2021-01-05,5
38018,2020-02-15,5
38020,2021-01-04,5
38085,2022-02-25,5
38244,2020-02-12,5
38332,2020-03-26,6
38351,2021-06-14,5
38407,2020-09-20,5
38546,2022-04-19,5
38618,2021-04-11,6
38666,2020-07-16,5
38712,2022-02-18,6
38760,2021-05-18,5
38870,2022-03-30,6
38988,2021-07-25,6
39075,2020-09-13,5
39080,2021-08-08,5
39140,2021-11-27,5
39262,2021-07-31,5
39278,2021-06-17,5
39327,2021-07-02,5
39368,2021-09-14,6
39465,2021-11-26,5
39504,2021-08-08,5
39523,2020-02-26,5
39564,2021-07-10,5
4057,2021-09-21,5
4212,2020-12-16,5
27075,2021-04-09,5
27229,2020-01-29,5
27243,2021-07-05,5
27355,2020-10-06,5
27453,2020-01-18,6
27539,2021-03-27,6
27614,2021-11-29,5
27729,2020-04-12,5
27746,2021-06-29,5
27790,2020-05-02,5
28016,2021-02-07,5
28089,2020-04-01,5
28129,2021-12-04,5
28149,2020-11-27,5
28196,2020-10-29,5
28228,2022-02-28,5
28309,2020-07-31,6
28430,2020-11-07,5
28460,2020-12-06,5
28493,2021-04-15,5
28563,2020-11-04,6
28606,2022-02-06,5
28827,2020-10-13,5
28865,2022-01-03,5
28953,2022-02-24,5
28980,2021-08-08,5
29007,2021-12-13,5
29036,2020-03-01,5
29104,2020-12-19,5
29159,2020-08-05,6
29236,2020-06-22,5
29243,2020-12-30,5
29384,2022-01-08,5
29405,2021-10-15,6
29678,2021-08-18,5
29919,2021-05-01,5
30008,2020-06-22,5
30011,2021-02-26,5
30058,2021-11-28,5
30186,2021-07-06,6
30225,2021-05-20,5
30279,2021-12-01,5
30327,2021-11-07,6
30475,2021-01-21,5
30480,2022-04-23,5
30535,2020-04-19,5
30552,2020-06-12,6
30595,2021-02-24,5
30694,2022-01-09,7
30739,2020-02-19,5
30751,2020-02-29,5
30777,2021-04-04,6
30875,2021-08-24,5
30924,2020-02-06,5
30924,2020-05-25,7
30965,2021-05-01,5
31046,2021-04-10,6
31285,2021-05-25,5
4270,2020-05-25,5
4488,2020-03-04,5
4511,2021-03-30,5
4606,2020-02-14,5
4624,2020-07-06,6
4710,2022-04-22,5
4795,2021-03-28,6
4801,2021-04-16,8
5034,2020-02-22,5
5036,2022-04-26,5
5139,2022-02-22,5
5295,2021-09-12,5
5313,2021-08-14,5
5416,2020-06-11,5
5559,2021-11-28,5
5624,2022-04-17,5
5694,2020-03-19,6
5797,2020-08-12,5
5803,2022-03-24,5
5842,2022-01-24,5
5844,2022-03-14,5
5858,2021-02-09,5
5998,2020-12-21,5
6055,2020-04-25,6
6144,2021-01-12,5
6198,2020-02-26,5
6302,2021-06-30,7
6307,2021-02-01,6
6374,2020-02-28,5
6782,2022-01-22,5
6897,2021-09-16,5
7050,2021-03-22,5
7070,2022-02-17,5
7108,2020-01-28,5
7184,2020-12-11,5
7199,2022-03-24,5
7333,2022-01-22,5
7395,2021-12-08,5
7515,2020-07-15,5
7569,2020-08-18,5
7679,2020-04-24,5
8126,2021-07-31,6
8144,2020-03-14,5
12119,2020-11-08,5
12124,2020-08-09,6
12156,2021-06-18,5
12315,2020-12-10,5
12549,2021-06-19,5
12602,2020-06-08,5
12708,2022-02-11,5
12722,2020-04-29,5
12747,2021-04-29,5
12759,2020-06-15,5
12872,2021-01-02,5
12905,2021-06-01,5
12909,2020-11-13,6
12955,2020-07-12,6
12967,2020-10-12,6
12967,2022-03-22,6
12986,2020-01-10,5
12997,2020-06-08,5
13086,2021-02-16,5
13094,2020-08-16,5
13149,2020-08-12,5
13473,2020-02-13,5
13474,2020-12-25,5
13816,2020-10-22,5
13856,2020-08-29,5
13876,2021-06-30,5
13940,2021-08-28,6
13955,2021-02-17,5
13986,2022-02-19,5
14105,2021-02-14,6
14105,2021-07-01,5
14111,2022-04-04,5
14212,2020-12-19,5
14212,2021-05-30,5
14310,2020-01-23,5
14316,2021-09-17,5
14425,2020-12-04,7
14447,2021-08-06,5
14461,2021-11-24,5
14826,2020-09-15,5
14844,2020-08-24,5
14993,2021-07-09,5
15097,2022-03-19,5
15127,2020-02-23,5
15127,2021-06-30,6
15192,2020-06-11,5
15198,2020-03-20,6
15335,2021-05-21,5
15340,2021-08-12,6
15480,2020-02-01,5
15549,2020-03-01,5
15663,2020-07-01,5
15731,2021-11-26,5
15799,2020-03-17,5
16065,2021-07-27,5
16166,2022-03-08,5
31376,2021-09-07,5
16361,2020-02-21,5
8483,2022-01-05,5
8594,2020-01-14,5
8604,2020-03-03,6
23787,2022-02-25,5
23809,2020-11-02,5
23813,2020-05-23,5
24000,2021-05-24,5
24003,2020-08-23,5
24031,2020-11-01,6
24044,2021-03-22,5
24054,2020-02-10,5
24109,2021-04-12,5
24150,2020-12-17,5
24252,2021-02-06,6
24568,2020-02-24,5
24614,2020-07-05,5
24648,2022-04-08,5
24813,2021-05-03,5
24864,2021-08-05,5
24938,2021-08-10,5
25021,2020-01-18,5
25317,2022-04-03,5
25527,2020-11-09,5
25527,2021-07-15,5
25597,2021-12-22,5
25728,2022-04-18,5
25730,2020-10-22,6
25730,2021-11-08,6
25868,2021-06-09,5
25989,2020-08-03,5
26005,2020-05-05,5
26011,2021-03-27,5
26430,2020-06-02,5
26600,2020-01-11,5
26688,2021-10-04,5
26743,2021-07-14,5
26804,2021-04-10,6
26968,2021-05-02,5
27019,2021-11-15,5
31950,2022-04-26,5
32007,2021-02-27,5
32032,2021-02-24,5
32139,2020-07-08,5
32150,2021-07-11,5
32180,2020-05-26,5
32316,2021-07-02,7
32331,2020-09-12,7
32582,2020-09-12,5
32582,2021-06-08,7
32682,2020-08-28,6
32708,2021-11-01,5
32793,2020-03-04,5
32818,2021-03-06,5
32939,2020-06-18,5
32960,2020-04-27,5
32994,2020-05-25,6
33007,2021-04-17,6
33039,2022-03-07,5
33052,2020-07-22,5
33106,2021-09-16,5
33197,2021-02-10,5
33341,2020-04-22,5
33372,2020-01-25,5
33427,2021-02-23,5
33474,2020-09-25,5
33552,2020-05-12,5
33622,2021-07-17,5
33637,2020-10-05,5
33716,2020-08-02,6
33851,2020-06-01,5
34354,2020-03-09,5
34463,2021-04-16,5
34649,2020-01-30,5
34702,2022-03-01,5
34805,2020-06-23,7
34858,2020-04-11,5
34929,2020-11-12,5
34965,2022-03-03,6
35029,2020-07-17,5
35094,2020-02-14,5
35103,2020-10-16,6
35118,2020-12-10,5
35166,2022-02-17,5
16550,2021-08-28,5
16586,2022-01-05,5
16622,2020-05-22,5
16706,2020-12-17,5
16970,2022-02-24,5
16976,2020-06-04,7
17234,2021-01-19,5
17274,2020-12-26,5
17295,2020-11-16,5
17432,2022-03-11,5
17456,2020-10-14,5
17530,2022-04-18,5
17560,2020-01-17,5
17597,2021-03-15,5
17634,2022-04-19,5
17669,2020-05-10,5
17702,2021-05-23,5
18014,2021-10-22,5
18115,2021-01-08,5
18311,2021-12-05,5
18433,2020-11-13,5
18549,2022-03-13,5
18578,2020-05-22,5
18603,2020-08-04,5
18619,2021-09-07,5
18900,2021-04-26,5
18901,2021-03-19,5
18966,2022-03-11,5
18992,2020-03-06,6
18998,2021-07-02,5
19060,2020-07-10,5
19103,2022-02-13,5
19175,2020-12-22,5
19180,2020-04-10,5
19225,2020-03-25,5
19302,2021-06-11,5
19534,2020-10-17,5
19573,2021-05-03,5
19624,2021-04-21,5
19679,2020-01-23,6
8867,2020-06-03,5
8888,2020-05-25,5
8923,2020-01-08,5
9065,2020-11-09,5
9130,2020-04-28,5
9374,2021-12-04,5
9431,2022-03-09,5
9473,2021-01-31,5
9523,2021-07-10,5
9632,2021-10-02,5
9648,2021-09-27,5
9692,2021-12-14,5
9696,2020-11-14,5
9713,2021-07-18,5
10285,2020-01-21,5
10299,2020-04-30,5
10392,2021-12-03,5
10498,2021-06-12,5
10645,2021-11-16,5
10748,2021-10-01,5
10795,2020-10-14,5
10839,2022-04-07,5
10972,2021-11-20,5
11085,2022-03-04,5
11132,2021-03-25,5
11161,2020-02-10,5
11161,2020-12-13,5
11270,2020-06-10,5
11328,2020-02-22,5
11370,2021-04-25,5
11424,2021-09-30,5
11449,2021-04-12,5
11486,2021-11-23,5
11952,2021-05-02,5
11967,2021-06-01,5
10,2020-04-20,5
49,2020-06-29,5
53,2021-12-10,5
54,2022-04-21,5
68,2021-11-18,5
72,2021-09-21,5
191,2020-06-10,5
303,2022-02-17,5
305,2020-01-17,5
390,2021-08-30,5
614,2021-02-28,5
974,2020-08-09,5
1043,2021-08-01,5
1144,2020-11-18,5
1309,2022-04-24,5
1395,2020-01-08,5
1482,2020-08-31,6
1605,2021-09-30,5
1615,2020-08-09,5
1666,2020-12-21,5
1669,2021-12-18,5
1695,2020-02-01,6
1709,2020-11-17,5
1712,2021-01-17,5
1892,2021-07-27,5
2033,2020-11-17,5
2197,2022-03-30,5
2277,2020-03-22,6
2365,2021-12-10,5
2389,2022-04-15,6
2482,2020-05-01,5
2600,2021-07-29,5
2720,2021-06-27,6
2892,2021-03-16,5
3036,2020-10-27,5
3084,2021-12-11,5
3290,2021-09-13,5
3346,2021-03-29,5
3354,2022-03-26,5
3413,2020-06-13,5
3418,2022-04-05,5
3448,2020-01-10,5
3762,2020-10-16,5
3780,2021-11-29,5
3909,2021-06-05,5
19713,2021-12-09,5
19751,2022-02-08,5
19805,2021-10-21,5
19896,2020-10-23,5
19987,2020-02-27,5
20029,2021-02-21,5
20151,2021-06-04,5
20186,2020-02-18,5
20329,2021-04-17,5
20383,2020-03-01,5
20473,2020-11-29,5
20476,2021-05-12,7
20567,2020-05-10,5
20608,2021-01-08,5
20679,2020-10-12,5
20703,2020-07-24,5
20815,2021-11-28,6
20907,2020-09-16,6
20972,2022-01-30,5
21077,2021-04-11,5
21105,2020-01-24,5
21141,2020-06-30,5
21256,2022-03-26,7
21273,2020-05-09,5
21455,2021-08-05,5
21469,2020-05-27,5
21498,2020-01-20,5
21573,2020-10-11,5
21620,2020-01-29,5
21621,2021-01-16,5
21705,2020-11-12,5
21883,2021-11-07,5
21901,2020-06-18,5
21951,2020-06-02,5
22159,2021-05-23,5
22618,2020-03-02,6
22684,2020-09-27,5
22718,2022-04-21,5
22729,2020-07-19,5
22914,2021-09-26,5
22970,2021-12-05,5
22986,2022-03-27,5
23079,2021-08-10,5
23151,2021-07-10,6
23176,2022-04-05,8
23266,2022-03-18,5
23500,2022-02-03,7
23619,2020-07-30,5
35297,2020-08-01,5
35509,2020-06-12,6
35547,2021-10-19,5
35594,2021-06-07,6
35783,2021-01-12,5
35793,2020-10-21,5
35795,2020-09-27,5
35839,2021-12-26,5
35893,2021-05-28,6
35926,2020-06-14,5
35948,2020-06-03,5
35998,2020-12-15,5
36133,2021-10-12,5
36320,2020-04-13,5
36351,2020-03-31,5
36436,2020-11-12,5
36510,2020-03-25,5
36538,2021-03-17,5
36554,2021-01-08,5
36571,2021-04-18,5
36576,2022-02-07,5
36660,2020-05-27,5
36716,2020-03-05,5
36723,2022-01-17,6
36776,2022-04-07,5
36793,2021-12-05,5
36808,2021-04-25,5
37064,2021-05-15,5
37153,2022-01-28,6
37249,2021-05-28,6
37294,2021-05-28,5
37462,2020-11-07,5
37747,2022-01-14,6
37876,2020-09-11,5
37920,2020-04-01,5
37933,2022-01-17,5
37945,2020-09-20,5
37964,2021-02-25,5
38115,2020-01-23,5
38162,2020-04-28,5
38269,2022-01-17,5
38366,2022-03-02,5
38373,2020-01-13,5
38578,2020-08-16,5
38587,2022-01-12,5
38622,2020-02-21,6
38701,2020-02-07,5
38737,2020-05-05,5
38779,2020-05-10,5
38861,2020-11-24,5
38889,2020-04-26,5
38915,2022-01-09,5
38964,2020-02-07,5
39002,2021-02-16,5
39026,2021-07-07,5
39040,2021-11-08,5
39148,2020-10-24,7
39196,2020-07-01,5
